"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"144"	"WS"	"3"	"282"	"282"	"9"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	29.8
"145"	"WS"	"3"	"282"	"282"	"4"	"NO"	7	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	29.8
"146"	"WS"	"1"	"287"	"287"	"9"	"NO"	NA	2017-06-16	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17333	0	26.8
"147"	"WS"	"1"	"287"	"287"	"2"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	26.8
"148"	"WS"	"1"	"287"	"287"	"4"	"NO"	NA	NA	NA	2017-05-28	2017-05-28	NA	NA	NA	26.8
"149"	"17"	"5"	"290"	"1080"	"16"	"YES"	6.83333333333333	2017-05-24	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17318	16	11.3
"150"	"17"	"5"	"290"	"290"	"6"	"NO"	7.16666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-16	17323.5	19	11.3
"151"	"17"	"5"	"290"	"1080"	"8"	"YES"	NA	2017-06-16	2017-06-16	NA	NA	2017-06-16	17333	0	11.3
"152"	"17"	"5"	"290"	"1080"	"13"	"YES"	6.66666666666667	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-02	17326	14	11.3
"153"	"17"	"5"	"290"	"290"	"10"	"NO"	7	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-09	17318	16	11.3
"154"	"17"	"5"	"290"	"1080"	"3"	"YES"	7.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	11.3
"155"	"17"	"5"	"290"	"1080"	"14"	"YES"	6.83333333333333	2017-05-24	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17318	16	11.3
"156"	"17"	"5"	"290"	"1080"	"15"	"YES"	NA	2017-05-24	2017-05-28	2017-05-28	2017-06-02	2017-05-24	17312	4	11.3
"157"	"17"	"4"	"314"	"314"	"9"	"NO"	6.66666666666667	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-06-02	17313	12	8.9
"158"	"17"	"4"	"314"	"314"	"4"	"NO"	6.16666666666667	2017-05-28	2017-06-09	2017-05-18	2017-06-02	2017-05-28	17320	12	8.9
"159"	"WS"	"3"	"325"	"325"	"1"	"NO"	7.16666666666667	2017-06-09	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17329.5	7	31.3
"160"	"WS"	"3"	"325"	"325"	"5"	"NO"	6.5	2017-06-02	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17326	14	31.3
"161"	"WS"	"3"	"325"	"325"	"10"	"NO"	NA	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17329.5	7	31.3
"162"	"WS"	"3"	"325"	"325"	"8"	"NO"	8.16666666666667	2017-06-09	2017-06-19	2017-06-09	2017-06-16	2017-06-16	17331	10	31.3
"163"	"17"	"3"	"327"	"1081"	"10"	"YES"	6.5	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17323.5	19	11.5
"164"	"17"	"3"	"327"	"1081"	"3"	"YES"	5.5	2017-05-21	2017-06-09	2017-05-18	2017-06-02	2017-05-24	17316.5	19	11.5
"165"	"17"	"3"	"327"	"1081"	"1"	"YES"	7.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-05-24	17318	16	11.5
"166"	"17"	"3"	"327"	"1081"	"9"	"YES"	6.66666666666667	2017-05-24	2017-06-09	2017-05-11	2017-06-02	2017-06-02	17318	16	11.5
"167"	"17"	"3"	"327"	"1081"	"8"	"YES"	7.16666666666667	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-06-02	17316.5	19	11.5
